@relation InstanceResultListener

@attribute Key_Dataset {iris,contact-lenses,labor-neg-data,soybean,weather,autos}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.OneR,weka.classifiers.NaiveBayes,weka.classifiers.HyperPipes,weka.classifiers.j48.J48,weka.classifiers.ZeroR,weka.classifiers.DecisionStump}
@attribute Key_Scheme_options {'-B 6','','-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-2853544795764806635,-2022278501536272782,3009815826905365078,-217733168393644444,6077547173920530258,-8991111028834837916}
@attribute Date_time numeric
@attribute Number_of_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Time_training numeric
@attribute Time_testing numeric
@attribute Summary {'Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 6\n','Number of leaves: 5\nSize of the tree: 8\n','Number of leaves: 54\nSize of the tree: 82\n','Number of leaves: 63\nSize of the tree: 94\n','Number of leaves: 62\nSize of the tree: 92\n','Number of leaves: 51\nSize of the tree: 77\n','Number of leaves: 59\nSize of the tree: 87\n','Number of leaves: 66\nSize of the tree: 99\n','Number of leaves: 59\nSize of the tree: 88\n','Number of leaves: 60\nSize of the tree: 88\n','Number of leaves: 61\nSize of the tree: 91\n','Number of leaves: 3\nSize of the tree: 4\n','Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 38\nSize of the tree: 50\n','Number of leaves: 55\nSize of the tree: 75\n','Number of leaves: 53\nSize of the tree: 71\n','Number of leaves: 51\nSize of the tree: 60\n','Number of leaves: 37\nSize of the tree: 53\n','Number of leaves: 37\nSize of the tree: 48\n','Number of leaves: 32\nSize of the tree: 43\n','Number of leaves: 61\nSize of the tree: 76\n','Number of leaves: 62\nSize of the tree: 78\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

iris,1,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,51,49,2,0,96.078431,3.921569,0,0.940767,0.026144,0.16169,5.858702,34.127935,81.592363,2148,-2066.407637,1.59985,42.117647,-40.517797,77.293406,1.515557,4885.770047,1,20,0,0,1,31,0,0,1,1,1,0.001,0.001,?,?,?,?
iris,2,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,51,47,4,0,92.156863,7.843137,0,0.881119,0.052288,0.228665,11.584327,47.589698,83.584631,4296,-4212.415369,1.638914,84.235294,-82.59638,74.621002,1.463157,4740.789749,1,20,0,0,1,31,0,0,1,1,1,0.001,0,?,?,?,?
iris,3,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,51,47,4,0,92.156863,7.843137,0,0.880702,0.052288,0.228665,11.717404,48.264189,81.592363,4296,-4214.407637,1.59985,84.235294,-82.635444,72.959861,1.430586,4611.843649,1,16,0,0,1,35,0,0,1,1,1,0.001,0.001,?,?,?,?
iris,4,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,51,49,2,0,96.078431,3.921569,0,0.940281,0.026144,0.16169,5.83858,33.98273,82.248115,2148,-2065.751885,1.612708,42.117647,-40.504939,77.86705,1.526805,4929.946583,1,16,0,0,1,35,0,0,1,1,1,0.001,0,?,?,?,?
iris,5,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,51,48,3,0,94.117647,5.882353,0,0.911765,0.039216,0.19803,8.823529,42.008403,80.833088,3222,-3141.166912,1.584963,63.176471,-61.591508,74.323313,1.45732,4689.278926,1,17,0,0,1,34,0,0,1,1,1,0.001,0,?,?,?,?
iris,6,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,51,46,5,0,90.196078,9.803922,0,0.853868,0.065359,0.255655,14.646755,53.961003,81.592363,5370,-5288.407637,1.59985,105.294118,-103.694267,70.387827,1.380153,4449.263567,1,16,0,0,1,35,0,0,1,1,1,0.001,0,?,?,?,?
iris,7,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,51,48,3,0,94.117647,5.882353,0,0.911047,0.039216,0.19803,8.727895,41.444585,82.936888,3222,-3139.063112,1.626213,63.176471,-61.550257,76.045753,1.491093,4822.632253,1,15,0,0,1,36,0,0,1,1,1,0.002,0,?,?,?,?
iris,8,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,51,49,2,0,96.078431,3.921569,0,0.939858,0.026144,0.16169,5.818597,33.839362,82.936888,2148,-2065.063112,1.626213,42.117647,-40.491434,78.693327,1.543006,4990.534823,1,22,0,0,1,29,0,0,1,1,1,0.001,0.001,?,?,?,?
iris,9,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,51,47,4,0,92.156863,7.843137,0,0.882353,0.052288,0.228665,11.757925,48.472195,80.939202,4296,-4215.060798,1.587043,84.235294,-82.648251,72.279948,1.417254,4561.554428,1,18,0,0,1,33,0,0,1,1,1,0.001,0.001,?,?,?,?
iris,10,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,51,49,2,0,96.078431,3.921569,0,0.94104,0.026144,0.16169,5.878963,34.275018,80.939202,2148,-2067.060798,1.587043,42.117647,-40.530604,76.640245,1.50275,4836.730745,1,18,0,0,1,33,0,0,1,1,1,0.001,0.005,?,?,?,?
contact-lenses,1,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,8,6,2,0,75,25,0,0.384615,0.166667,0.408248,45.238095,103.346376,9.472017,2148,-2138.527983,1.184002,268.5,-267.315998,5.464013,0.683002,358.456562,1,1,0.285714,2,0.714286,5,0,0,0.333333,1,0.5,0,0,?,?,?,?
contact-lenses,2,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,8,4,4,0,50,50,0,0.272727,0.333333,0.57735,88.372093,133.51839,11.194409,4296,-4284.805591,1.399301,537,-535.600699,1.299777,0.162472,93.927575,1,1,0.571429,4,0.428571,3,0,0,0.2,1,0.333333,0,0,?,?,?,?
contact-lenses,3,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,8,6,2,0,75,25,0,0.555556,0.166667,0.408248,44.705882,96.025752,10.686262,2148,-2137.313738,1.335783,268.5,-267.164217,6.060874,0.757609,431.995909,1,2,0.333333,2,0.666667,4,0,0,0.5,1,0.666667,0,0,?,?,?,?
contact-lenses,4,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,8,4,4,0,50,50,0,0,0.333333,0.57735,84.444444,123.81069,12.473645,4296,-4283.526355,1.559206,537,-535.440794,1.473931,0.184241,112.30544,0,0,0,0,1,6,1,2,0,0,0,0.001,0,?,?,?,?
contact-lenses,5,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,8,6,2,0,75,25,0,0.428571,0.166667,0.408248,45.238095,100.41812,10.051852,2148,-2137.948148,1.256481,268.5,-267.243519,4.873923,0.60924,332.133716,0,0,0,0,1,6,1,2,0,0,0,0,0.001,?,?,?,?
contact-lenses,6,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,8,7,1,0,87.5,12.5,0,0.6,0.083333,0.288675,22.619048,73.076923,9.472017,1074,-1064.527983,1.184002,134.25,-133.065998,7.468015,0.933502,489.925434,1,1,0.142857,1,0.857143,6,0,0,0.5,1,0.666667,0,0,?,?,?,?
contact-lenses,7,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,8,4,4,0,50,50,0,0.272727,0.333333,0.57735,88.372093,133.51839,11.194409,4296,-4284.805591,1.399301,537,-535.600699,1.299777,0.162472,93.927575,1,1,0.571429,4,0.428571,3,0,0,0.2,1,0.333333,0,0,?,?,?,?
contact-lenses,8,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,8,6,2,0,75,25,0,0.483871,0.166667,0.408248,45.783133,101.777601,9.729923,2148,-2138.270077,1.21624,268.5,-267.28376,5.136957,0.64212,350.05821,1,1,0.285714,2,0.714286,5,0,0,0.333333,1,0.5,0,0,?,?,?,?
contact-lenses,9,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,8,4,4,0,50,50,0,0.272727,0.333333,0.57735,88.372093,133.51839,11.194409,4296,-4284.805591,1.399301,537,-535.600699,1.299777,0.162472,93.927575,1,1,0.571429,4,0.428571,3,0,0,0.2,1,0.333333,0.001,0,?,?,?,?
contact-lenses,10,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,8,6,2,0,75,25,0,0.555556,0.166667,0.408248,44.705882,96.025752,10.686262,2148,-2137.313738,1.335783,268.5,-267.164217,6.060874,0.757609,431.995909,1,2,0.333333,2,0.666667,4,0,0,0.5,1,0.666667,0,0,?,?,?,?
labor-neg-data,1,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,19,14,5,0,73.684211,26.315789,0,0.409938,0.263158,0.512989,55.710306,101.98906,19.209354,5370,-5350.790646,1.011019,282.631579,-281.62056,8.266709,0.43509,908.693024,0.375,3,0,0,1,11,0.625,5,1,0.375,0.545455,0.001,0.001,?,?,?,?
labor-neg-data,2,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,19,14,5,0,73.684211,26.315789,0,0.431138,0.263158,0.512989,55.710306,101.98906,19.209354,5370,-5350.790646,1.011019,282.631579,-281.62056,8.266709,0.43509,908.693024,0.5,4,0.090909,1,0.909091,10,0.5,4,0.8,0.5,0.615385,0.002,0,?,?,?,?
labor-neg-data,3,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,19,15,4,0,78.947368,21.052632,0,0.518987,0.210526,0.458831,45.714286,95.049691,18.059873,4296,-4277.940127,0.95052,226.105263,-225.154744,9.515627,0.500822,1018.729468,0.571429,4,0.083333,1,0.916667,11,0.428571,3,0.8,0.571429,0.666667,0.001,0,?,?,?,?
labor-neg-data,4,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,19,15,4,0,78.947368,21.052632,0,0.568182,0.210526,0.458831,44.568245,91.221788,19.209354,4296,-4276.790646,1.011019,226.105263,-225.094245,10.455238,0.550276,1149.260472,0.75,6,0.181818,2,0.818182,9,0.25,2,0.75,0.75,0.75,0.002,0,?,?,?,?
